tensor(2.7795, grad_fn=<HuberLossBackward0>)
tensor(2.8557, grad_fn=<HuberLossBackward0>)
tensor(3.4015, grad_fn=<HuberLossBackward0>)
tensor(7.4869, grad_fn=<HuberLossBackward0>)
tensor(4.0029, grad_fn=<HuberLossBackward0>)
tensor(2.4732, grad_fn=<HuberLossBackward0>)
tensor(3.7793, grad_fn=<HuberLossBackward0>)
tensor(4.6158, grad_fn=<HuberLossBackward0>)
tensor(3.7215, grad_fn=<HuberLossBackward0>)
tensor(2.0652, grad_fn=<HuberLossBackward0>)
tensor(1.8276, grad_fn=<HuberLossBackward0>)
tensor(2.3383, grad_fn=<HuberLossBackward0>)
tensor(8.1822, grad_fn=<HuberLossBackward0>)
tensor(2.7935, grad_fn=<HuberLossBackward0>)
tensor(7.2168, grad_fn=<HuberLossBackward0>)
tensor(1.8169, grad_fn=<HuberLossBackward0>)
tensor(3.8491, grad_fn=<HuberLossBackward0>)
tensor(4.6367, grad_fn=<HuberLossBackward0>)
tensor(2.4577, grad_fn=<HuberLossBackward0>)
tensor(4.5236, grad_fn=<HuberLossBackward0>)
tensor(2.9891, grad_fn=<HuberLossBackward0>)
tensor(2.4717, grad_fn=<HuberLossBackward0>)
tensor(3.7033, grad_fn=<HuberLossBackward0>)
tensor(1.9903, grad_fn=<HuberLossBackward0>)
tensor(4.1835, grad_fn=<HuberLossBackward0>)
tensor(5.8379, grad_fn=<HuberLossBackward0>)
tensor(4.0344, grad_fn=<HuberLossBackward0>)
tensor(2.9115, grad_fn=<HuberLossBackward0>)
tensor(3.2587, grad_fn=<HuberLossBackward0>)
tensor(4.2206, grad_fn=<HuberLossBackward0>)
tensor(4.5413, grad_fn=<HuberLossBackward0>)
tensor(2.9504, grad_fn=<HuberLossBackward0>)
tensor(3.4012, grad_fn=<HuberLossBackward0>)
tensor(12.8929, grad_fn=<HuberLossBackward0>)
tensor(4.8960, grad_fn=<HuberLossBackward0>)
tensor(3.8982, grad_fn=<HuberLossBackward0>)
tensor(2.3371, grad_fn=<HuberLossBackward0>)
tensor(7.3169, grad_fn=<HuberLossBackward0>)
tensor(6.6483, grad_fn=<HuberLossBackward0>)
tensor(7.8653, grad_fn=<HuberLossBackward0>)
tensor(7.6582, grad_fn=<HuberLossBackward0>)
tensor(7.0408, grad_fn=<HuberLossBackward0>)
tensor(5.9571, grad_fn=<HuberLossBackward0>)
tensor(4.2374, grad_fn=<HuberLossBackward0>)
tensor(5.1054, grad_fn=<HuberLossBackward0>)
tensor(4.4279, grad_fn=<HuberLossBackward0>)
tensor(13.0303, grad_fn=<HuberLossBackward0>)
tensor(3.7974, grad_fn=<HuberLossBackward0>)
tensor(5.5184, grad_fn=<HuberLossBackward0>)
tensor(4.4502, grad_fn=<HuberLossBackward0>)
tensor(19.8040, grad_fn=<HuberLossBackward0>)
tensor(4.3054, grad_fn=<HuberLossBackward0>)
tensor(2.7426, grad_fn=<HuberLossBackward0>)
tensor(32.2709, grad_fn=<HuberLossBackward0>)
tensor(4.3675, grad_fn=<HuberLossBackward0>)
tensor(2.4288, grad_fn=<HuberLossBackward0>)
tensor(3.4282, grad_fn=<HuberLossBackward0>)
tensor(3.5182, grad_fn=<HuberLossBackward0>)
tensor(4.5392, grad_fn=<HuberLossBackward0>)
tensor(3.4504, grad_fn=<HuberLossBackward0>)
tensor(3.8926, grad_fn=<HuberLossBackward0>)
tensor(6.0532, grad_fn=<HuberLossBackward0>)
tensor(3.6195, grad_fn=<HuberLossBackward0>)
tensor(17.5693, grad_fn=<HuberLossBackward0>)
tensor(4.2887, grad_fn=<HuberLossBackward0>)
tensor(16.8419, grad_fn=<HuberLossBackward0>)
tensor(3.7638, grad_fn=<HuberLossBackward0>)
tensor(4.1453, grad_fn=<HuberLossBackward0>)
tensor(17.9678, grad_fn=<HuberLossBackward0>)
tensor(5.8390, grad_fn=<HuberLossBackward0>)
tensor(27.5929, grad_fn=<HuberLossBackward0>)
tensor(4.4308, grad_fn=<HuberLossBackward0>)
tensor(47.6670, grad_fn=<HuberLossBackward0>)
tensor(36.1865, grad_fn=<HuberLossBackward0>)
tensor(22.5204, grad_fn=<HuberLossBackward0>)
tensor(18.8844, grad_fn=<HuberLossBackward0>)
tensor(6.5419, grad_fn=<HuberLossBackward0>)
tensor(18.6957, grad_fn=<HuberLossBackward0>)
tensor(5.2088, grad_fn=<HuberLossBackward0>)
tensor(4.9288, grad_fn=<HuberLossBackward0>)
tensor(3.4996, grad_fn=<HuberLossBackward0>)
tensor(4.4291, grad_fn=<HuberLossBackward0>)
tensor(4.8021, grad_fn=<HuberLossBackward0>)
tensor(3.1405, grad_fn=<HuberLossBackward0>)
tensor(22.0685, grad_fn=<HuberLossBackward0>)
tensor(5.8337, grad_fn=<HuberLossBackward0>)
tensor(3.5266, grad_fn=<HuberLossBackward0>)
tensor(14.5261, grad_fn=<HuberLossBackward0>)
tensor(14.8336, grad_fn=<HuberLossBackward0>)
tensor(14.1615, grad_fn=<HuberLossBackward0>)
tensor(4.4036, grad_fn=<HuberLossBackward0>)
tensor(3.8200, grad_fn=<HuberLossBackward0>)
tensor(5.1755, grad_fn=<HuberLossBackward0>)
tensor(4.4347, grad_fn=<HuberLossBackward0>)
tensor(6.4688, grad_fn=<HuberLossBackward0>)
tensor(32.8818, grad_fn=<HuberLossBackward0>)
tensor(5.1837, grad_fn=<HuberLossBackward0>)
tensor(23.9319, grad_fn=<HuberLossBackward0>)
tensor(13.8469, grad_fn=<HuberLossBackward0>)
tensor(3.9011, grad_fn=<HuberLossBackward0>)
tensor(3.2970, grad_fn=<HuberLossBackward0>)
tensor(5.0498, grad_fn=<HuberLossBackward0>)
tensor(14.1321, grad_fn=<HuberLossBackward0>)
tensor(4.2550, grad_fn=<HuberLossBackward0>)
tensor(13.9398, grad_fn=<HuberLossBackward0>)
tensor(17.0028, grad_fn=<HuberLossBackward0>)
tensor(6.3333, grad_fn=<HuberLossBackward0>)
tensor(15.0743, grad_fn=<HuberLossBackward0>)
tensor(4.6478, grad_fn=<HuberLossBackward0>)
tensor(4.7115, grad_fn=<HuberLossBackward0>)
tensor(29.2313, grad_fn=<HuberLossBackward0>)
tensor(43.3231, grad_fn=<HuberLossBackward0>)
tensor(19.6721, grad_fn=<HuberLossBackward0>)
tensor(4.5016, grad_fn=<HuberLossBackward0>)
tensor(3.6410, grad_fn=<HuberLossBackward0>)
tensor(3.7386, grad_fn=<HuberLossBackward0>)
tensor(20.7854, grad_fn=<HuberLossBackward0>)
tensor(20.4261, grad_fn=<HuberLossBackward0>)
tensor(3.8499, grad_fn=<HuberLossBackward0>)
tensor(24.4148, grad_fn=<HuberLossBackward0>)
tensor(37.9971, grad_fn=<HuberLossBackward0>)
tensor(38.6523, grad_fn=<HuberLossBackward0>)
tensor(23.8662, grad_fn=<HuberLossBackward0>)
tensor(4.6872, grad_fn=<HuberLossBackward0>)
tensor(4.7310, grad_fn=<HuberLossBackward0>)
tensor(25.1584, grad_fn=<HuberLossBackward0>)
tensor(4.5739, grad_fn=<HuberLossBackward0>)
tensor(75.9006, grad_fn=<HuberLossBackward0>)
tensor(40.3755, grad_fn=<HuberLossBackward0>)
tensor(4.6032, grad_fn=<HuberLossBackward0>)
tensor(26.4518, grad_fn=<HuberLossBackward0>)
tensor(5.3864, grad_fn=<HuberLossBackward0>)
tensor(5.2662, grad_fn=<HuberLossBackward0>)
tensor(56.3879, grad_fn=<HuberLossBackward0>)
tensor(37.0387, grad_fn=<HuberLossBackward0>)
tensor(4.4211, grad_fn=<HuberLossBackward0>)
tensor(21.1508, grad_fn=<HuberLossBackward0>)
tensor(3.7242, grad_fn=<HuberLossBackward0>)
tensor(3.4467, grad_fn=<HuberLossBackward0>)
tensor(3.4219, grad_fn=<HuberLossBackward0>)
tensor(47.4379, grad_fn=<HuberLossBackward0>)
tensor(18.2596, grad_fn=<HuberLossBackward0>)
tensor(31.7946, grad_fn=<HuberLossBackward0>)
tensor(16.9890, grad_fn=<HuberLossBackward0>)
tensor(2.7265, grad_fn=<HuberLossBackward0>)
tensor(6.9054, grad_fn=<HuberLossBackward0>)
tensor(4.7198, grad_fn=<HuberLossBackward0>)
tensor(5.5067, grad_fn=<HuberLossBackward0>)
tensor(6.2057, grad_fn=<HuberLossBackward0>)
tensor(17.4322, grad_fn=<HuberLossBackward0>)
tensor(6.3614, grad_fn=<HuberLossBackward0>)
tensor(15.2339, grad_fn=<HuberLossBackward0>)
tensor(5.7110, grad_fn=<HuberLossBackward0>)
tensor(15.5808, grad_fn=<HuberLossBackward0>)
tensor(23.1924, grad_fn=<HuberLossBackward0>)
tensor(23.0183, grad_fn=<HuberLossBackward0>)
tensor(16.6122, grad_fn=<HuberLossBackward0>)
tensor(25.7936, grad_fn=<HuberLossBackward0>)
tensor(22.6025, grad_fn=<HuberLossBackward0>)
tensor(14.1163, grad_fn=<HuberLossBackward0>)
tensor(4.3839, grad_fn=<HuberLossBackward0>)
tensor(4.3295, grad_fn=<HuberLossBackward0>)
tensor(25.2147, grad_fn=<HuberLossBackward0>)
tensor(8.6788, grad_fn=<HuberLossBackward0>)
tensor(24.3716, grad_fn=<HuberLossBackward0>)
tensor(3.4275, grad_fn=<HuberLossBackward0>)
tensor(4.2447, grad_fn=<HuberLossBackward0>)
tensor(4.0877, grad_fn=<HuberLossBackward0>)
tensor(4.7912, grad_fn=<HuberLossBackward0>)
tensor(24.1629, grad_fn=<HuberLossBackward0>)
tensor(24.4849, grad_fn=<HuberLossBackward0>)
